1,Florette,Dumphy,12507,0.46,fdumphy0@mtv.com
2,Stacy,Danjoie,59174,0.41,sdanjoie1@mozilla.org
3,Maribeth,Brinson,15672,0.64,mbrinson2@pagesperso-orange.fr
4,Emmi,Auden,15640,0.33,eauden3@amazon.com
5,Lizette,Dayment,12645,0.53,ldayment4@netvibes.com
6,Herold,Aleksidze,71953,0.36,haleksidze5@mozilla.com
7,Theadora,Merrywether,51218,0.23,tmerrywether6@webnode.com
8,Clarabelle,Gutman,94945,0.56,cgutman7@prweb.com
9,See,Wrack,34301,0.13,swrack8@stumbleupon.com
10,Pammi,Jonah,21164,0.64,pjonah9@usgs.gov
11,Garvy,Hayer,18277,0.48,ghayera@com.com
12,Roosevelt,Petru,59443,0.89,rpetrub@merriam-webster.com
13,Emelda,Briars,46345,0.74,ebriarsc@hubpages.com
14,Onfroi,Lanfranconi,30392,0.68,olanfranconid@baidu.com
15,Bernardina,Dron,29006,0.45,bdrone@fema.gov
16,Lianna,Crystal,79656,0.34,lcrystalf@biblegateway.com
17,Pia,Negro,52828,0.06,pnegrog@elegantthemes.com
18,Armando,Rudland,73837,0.42,arudlandh@wikimedia.org
19,Dukey,Fellgatt,12795,0.8,dfellgatti@sitemeter.com
20,Loree,Pomroy,59359,0.56,lpomroyj@facebook.com
21,Joelle,Toppin,24013,0.91,jtoppink@state.gov
22,Harri,Rablin,59932,0.34,hrablinl@constantcontact.com
23,Livvie,Sidnall,41180,0.99,lsidnallm@artisteer.com
24,Berti,Johanssen,44840,0.67,bjohanssenn@google.nl
25,Udall,Belson,48156,0.39,ubelsono@hc360.com
26,Atlanta,Langton,79923,0.99,alangtonp@printfriendly.com
27,Glynis,Cabrales,53852,0.83,gcabralesq@cbc.ca
28,Koralle,Di Nisco,56001,0.09,kdiniscor@dell.com
29,Locke,Canedo,45079,0.33,lcanedos@cnet.com
30,Bogey,Hale,38026,0.57,bhalet@hc360.com
31,Laurena,Trousdell,17404,0.75,ltrousdellu@clickbank.net
32,Roley,Cuttler,49227,0.78,rcuttlerv@sohu.com
33,Leonerd,Mollen,63784,0.72,lmollenw@technorati.com
34,Westleigh,Iglesias,43616,0.5,wiglesiasx@addthis.com
35,Rosemaria,Cafferky,48617,0.34,rcafferkyy@ocn.ne.jp
36,Gearard,Springford,12071,0.92,gspringfordz@intel.com
37,Jammal,Filipczynski,74477,0.57,jfilipczynski10@theglobeandmail.com
38,Row,Gallihaulk,78191,0.55,rgallihaulk11@alibaba.com
39,Heather,McInnery,67483,0.68,hmcinnery12@netvibes.com
40,Falito,Wooller,22270,0.54,fwooller13@wunderground.com
41,Berke,Scullion,22504,0.24,bscullion14@vinaora.com
42,Cecilius,Ashcroft,52076,0.76,cashcroft15@wordpress.org
43,Meredeth,Armfirld,40189,0.89,marmfirld16@last.fm
44,Gina,Matyushonok,26290,0.63,gmatyushonok17@linkedin.com
45,Anabal,Standall,49514,0.16,astandall18@tmall.com
46,Merwin,Keys,8605,0.4,mkeys19@loc.gov
47,Kort,Savil,38274,0.68,ksavil1a@topsy.com
48,Leigh,Kobiela,93956,0.56,lkobiela1b@sciencedaily.com
49,Lynna,Camilletti,31820,0.06,lcamilletti1c@nydailynews.com
50,Rosco,Jiggins,41714,0.4,rjiggins1d@xrea.com
51,Cherilyn,Fulker,13671,0.42,cfulker1e@etsy.com
52,Gretal,Self,4868,0.85,gself1f@dmoz.org
53,Fergus,Itzkowicz,26992,0.25,fitzkowicz1g@unblog.fr
54,Beauregard,Louiset,15397,0.46,blouiset1h@technorati.com
55,Raynor,Braniff,98368,0.72,rbraniff1i@loc.gov
56,Guinna,Bynert,1355,0.16,gbynert1j@sphinn.com
57,Leona,Shiril,44288,0.09,lshiril1k@japanpost.jp
58,Silvia,Dinan,18653,0.05,sdinan1l@yahoo.com
59,Amalee,Vowden,90517,0.47,avowden1m@phoca.cz
60,Raina,Dawkes,52094,0.58,rdawkes1n@ezinearticles.com
61,Cosette,Cowperthwaite,78733,0.37,ccowperthwaite1o@wikia.com
62,Abba,Demaid,77004,0.05,ademaid1p@qq.com
63,Malinde,Cornbell,74386,0.7,mcornbell1q@people.com.cn
64,Rupert,Ferre,97130,0.12,rferre1r@china.com.cn
65,Guillemette,Schust,32901,0.27,gschust1s@timesonline.co.uk
66,Janet,Sacase,52653,0.22,jsacase1t@mapquest.com
67,Estel,Harbard,17553,0.21,eharbard1u@vistaprint.com
68,Elle,Rarity,963,0.56,erarity1v@google.co.uk
69,Chick,Biffin,62789,0.96,cbiffin1w@upenn.edu
70,Cheri,Lubman,81167,0.54,clubman1x@acquirethisname.com
71,Tim,Fransson,29108,0.17,tfransson1y@economist.com
72,Marinna,Tabord,46083,0.86,mtabord1z@tripadvisor.com
73,Dore,Guidi,57588,0.57,dguidi20@nymag.com
74,Care,Iskowicz,22066,0.5,ciskowicz21@hibu.com
75,Rafferty,Rylett,44543,0.98,rrylett22@cnbc.com
76,Georgeta,Tremonte,33603,0.08,gtremonte23@acquirethisname.com
77,Kinna,France,86441,0.66,kfrance24@engadget.com
78,Buiron,Jojic,54358,0.39,bjojic25@symantec.com
79,Robbi,Quantick,64134,0.76,rquantick26@auda.org.au
80,Marlo,Blewett,82385,0.16,mblewett27@google.com
81,Cyb,Lesurf,80301,0.42,clesurf28@friendfeed.com
82,Vaughan,Bazeley,10620,0.93,vbazeley29@cloudflare.com
83,Barbi,Elks,68814,0.49,belks2a@comcast.net
84,Rochella,Mapstone,19837,0.22,rmapstone2b@businessweek.com
85,Trueman,Prandoni,37287,0.83,tprandoni2c@theatlantic.com
